,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
113,113,4,0,0.6654701072677894,[0 1 2 3],[17 14 18  5],"22,6",0,1,1,1,0
114,114,4,0,0.6253155638468857,[0 1 2 3],[17 14 18  5],"22,8",0,1,1,1,0
115,115,4,0,0.6322447188986691,[0 1 2 3],[14 18 17  5],23,0,1,0,2,0
116,116,4,0,0.6297619982639846,[0 1 2 3],[17 18 14  5],"23,2",0,1,1,1,0
117,117,4,0,0.5807392064885333,[0 1 2 3],[14 18 17  5],"23,4",0,1,0,2,0
118,118,4,0,0.48495982639926155,[0 1 2 3],[17 14  5 18],"23,6",0,1,1,1,0
119,119,4,0,0.47411639972429254,[0 1 2 3],[17 14  5 18],"23,8",0,1,1,1,0
120,120,4,0,0.4889959397425222,[0 1 2 3],[14 17 18  5],24,0,1,0,2,0
121,121,4,0,0.3985659805172435,[0 1 2 3],[17 14 18  5],"24,2",0,1,1,1,0
122,122,4,0,0.48156947570449615,[0 1 2 3],[14 17 18  5],"24,4",0,1,0,2,0
123,123,4,0,0.5159872533791027,[0 1 2 3],[14 18 17  5],"24,6",0,1,0,2,0
124,124,5,0,0.30765177907022817,[0 1 2 3 4],[17 14  9  9  5],"24,8",0,1,3,0,0
125,125,4,0,0.3701665712560869,[0 1 2 3],[14 17 18  5],25,0,1,0,2,0
126,126,4,0,0.32669430344890843,[0 1 2 3],[17 14 18  5],"25,2",0,1,1,1,0
127,127,4,0,0.40164624684718786,[0 1 2 3],[17 14 18  5],"25,4",0,1,1,1,0
128,128,4,0,0.4990569857656402,[0 1 2 3],[17 14 18  5],"25,6",0,1,1,1,0
129,129,4,0,0.38198473724577536,[0 1 2 3],[17 14 18  5],"25,8",0,1,1,1,0
130,130,4,0,0.45451658645888604,[0 1 2 3],[17 14 18  5],26,0,1,1,1,0
131,131,4,0,0.42108602008307755,[0 1 2 3],[14 18  5 17],"26,2",0,1,0,2,0
132,132,4,0,0.42990602842322223,[0 1 2 3],[17 14 18  5],"26,4",0,1,1,1,0
133,133,4,0,0.4010910698469026,[0 1 2 3],[17 14 18  5],"26,6",0,1,1,1,0
134,134,4,0,0.3692011672100865,[0 1 2 3],[17 18  5 14],"26,8",0,1,1,1,0
135,135,4,0,0.42054312073287076,[0 1 2 3],[17 14 18  5],27,0,1,1,1,0
136,136,4,0,0.4575491791449346,[0 1 2 3],[17 14 18  5],"27,2",0,1,1,1,0
137,137,4,0,0.3311718203392783,[0 1 2 3],[17 14 18  5],"27,4",0,1,1,1,0
138,138,4,0,0.4308439404666694,[0 1 2 3],[17 14 18  5],"27,6",0,1,1,1,0
139,139,5,0,0.32806316309220973,[0 1 2 3 4],[17 14  8 10  5],"27,8",0,2,2,0,0
140,140,4,0,0.40197093059672184,[0 1 2 3],[17 14 18  5],28,0,1,1,1,0
141,141,4,0,0.4446443304662885,[0 1 2 3],[17 14 18  5],"28,2",0,1,1,1,0
142,142,4,0,0.36200500980662914,[0 1 2 3],[17 14 18  5],"28,4",0,1,1,1,0
143,143,4,0,0.3274138138459105,[0 1 2 3],[14 18  5 17],"28,6",0,1,0,2,0
144,144,4,0,0.35431364286742567,[0 1 2 3],[17 14 18  5],"28,8",0,1,1,1,0
145,145,4,0,0.3073859147635578,[0 1 2 3],[17 14 18  5],29,0,1,1,1,0
146,146,5,0,0.2961450341513214,[0 1 2 3 4],[14  8  5 17 10],"29,2",0,2,1,1,0
147,147,4,0,0.5709043473594567,[0 1 2 3],[17 14 18  5],"29,4",0,1,1,1,0
148,148,4,0,0.4739728419344791,[0 1 2 3],[17 14 18  5],"29,6",0,1,1,1,0
149,149,4,0,0.5686350183151714,[0 1 2 3],[14 17 18  5],"29,8",0,1,0,2,0
150,150,5,0,0.16852488310177946,[0 1 2 3 4],[ 8 17 10 14  5],30,0,1,2,1,0
151,151,5,0,0.127031018504428,[0 1 2 3 4],[17 14  8  5 10],"30,2",0,2,2,0,0
152,152,4,0,0.21438156255073504,[0 1 2 3],[19 12 18  5],"30,4",0,1,1,1,0
153,153,4,0,0.2603124572498422,[0 1 2 3],[17 14 18  5],"30,6",0,1,1,1,0
154,154,4,0,0.26876080703674626,[0 1 2 3],[14 18 17  5],"30,8",0,1,0,2,0
155,155,4,0,0.5338766540617668,[0 1 2 3],[17 14 18  5],31,0,1,1,1,0
156,156,4,0,0.37485056400215805,[0 1 2 3],[16 18 15  5],"31,2",0,1,1,1,0
157,157,4,0,0.440277897204168,[0 1 2 3],[14 18 17  5],"31,4",0,1,0,2,0
158,158,4,0,0.4405499648884954,[0 1 2 3],[14 17  5 18],"31,6",0,1,0,2,0
159,159,4,0,0.3618329813884703,[0 1 2 3],[14 17 18  5],"31,8",0,1,0,2,0
160,160,4,0,0.39365611703124115,[0 1 2 3],[14 18  5 17],32,0,1,0,2,0
161,161,4,0,0.3664451922398804,[0 1 2 3],[14 17 18  5],"32,2",0,1,0,2,0
162,162,4,0,0.250135236041531,[0 1 2 3],[14 17 18  5],"32,4",0,1,0,2,0
163,163,5,0,0.2301062604465803,[0 1 2 3 4],[14 17 12  6  5],"32,6",0,2,1,1,0
164,164,5,0,0.16871983368382784,[0 1 2 3 4],[14 17 11  7  5],"32,8",0,2,1,1,0
165,165,4,0,0.4067456808334556,[0 1 2 3],[14 17 18  5],33,0,1,0,2,0
166,166,4,0,0.4581223619440329,[0 1 2 3],[14 17 18  5],"33,2",0,1,0,2,0
167,167,4,0,0.38223602318906813,[0 1 2 3],[17 14 18  5],"33,4",0,1,1,1,0
168,168,4,0,0.4423964425575633,[0 1 2 3],[14 17 18  5],"33,6",0,1,0,2,0
169,169,4,0,0.3977744345805521,[0 1 2 3],[14 18  5 17],"33,8",0,1,0,2,0
170,170,4,0,0.28645931465513064,[0 1 2 3],[14  5 17 18],34,0,1,0,2,0
171,171,4,0,0.25826300478149317,[0 1 2 3],[14 17 18  5],"34,2",0,1,0,2,0
172,172,5,0,0.32281294715299325,[0 1 2 3 4],[14  9  8  5 18],"34,4",0,2,1,1,0
173,173,5,0,0.1448645787988857,[0 1 2 3 4],[14  8 10  5 17],"34,6",0,2,1,1,0
174,174,4,0,0.25666660122234136,[0 1 2 3],[14 17  5 18],"34,8",0,1,0,2,0
175,175,4,0,0.2748770231814161,[0 1 2 3],[14 17 18  5],35,0,1,0,2,0
176,176,4,0,0.3202978490714046,[0 1 2 3],[14 18 17  5],"35,2",0,1,0,2,0
177,177,5,0,0.481114916077104,[0 1 2 3 4],[14  8 18  9  5],"35,4",0,2,1,1,0
178,178,5,0,0.257316244647166,[0 1 2 3 4],[14  8 10 17  5],"35,6",0,2,1,1,0
179,179,4,0,0.4116788072135383,[0 1 2 3],[14  5 17 18],"35,8",0,1,0,2,0
180,180,5,0,0.20810178871115742,[0 1 2 3 4],[14 12  7 11 10],36,0,1,3,0,0
181,181,5,0,0.4074808428273044,[0 1 2 3 4],[14  8  5  9 18],"36,2",0,2,1,1,0
182,182,5,0,0.15611841633299836,[0 1 2 3 4],[ 7  7 17 15  8],"36,4",0,2,1,1,0
183,183,4,0,0.18770372029629243,[0 1 2 3],[12 13 12 17],"36,6",0,0,2,1,0
184,184,5,0,0.16902766939363986,[0 1 2 3 4],[13 17  8 10  6],"36,8",0,2,1,1,0
185,185,4,0,0.21423724165859645,[0 1 2 3],[12 17  7 18],37,0,1,0,2,0
186,186,5,0,0.35148538986751166,[0 1 2 3 4],[11  9  8 18  8],"37,2",0,2,1,1,0
187,187,6,0,0.17280594077859254,[0 1 2 3 4 5],[13 10  7 11  7  6],"37,4",0,3,2,0,0
188,188,6,0,0.13651214949714346,[0 1 2 3 4 5],[ 9  8  6 12  9 10],"37,6",0,2,3,0,0
189,189,6,0,0.1325255094064159,[0 1 2 3 4 5],[ 9  9  6 12  8 10],"37,8",0,2,3,0,0
190,190,6,0,0.1843954254714746,[0 1 2 3 4 5],[12  8  7 11  9  7],38,0,3,2,0,0
191,191,6,0,0.22549697711377573,[0 1 2 3 4 5],[10  8  7 11  9  9],"38,2",0,2,3,0,0
192,192,6,0,0.18244818645142735,[0 1 2 3 4 5],[10  9  6 12  8  9],"38,4",0,2,3,0,0
193,193,5,0,0.24715072104645902,[0 1 2 3 4],[19  7  8 10 10],"38,6",0,2,2,0,0
