,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
189,189,7,0,0.5058536978263212,[0 1 2 3 4 5 6],[18 14  3  5  6  2  6],2,3,1,0,0
190,190,6,1,0.49776632470139653,[-1  0  1  2  3  4  5],[ 1 18 14  3 14  2  2],3,0,2,1,0
191,191,5,2,0.4649599321665043,[-1  0  1  2  3  4],[ 2 18 18  5  5  6],0,3,0,2,0
192,192,6,2,0.466388219998064,[-1  0  1  2  3  4  5],[ 2 18 17  6  2  4  5],2,2,0,2,0
193,193,5,1,0.5324839212506798,[-1  0  1  2  3  4],[ 1 18 17 13  2  3],2,0,1,2,0
194,194,5,0,0.5849686632073704,[0 1 2 3 4],[18 16 12  3  5],1,1,1,1,0
195,195,4,2,0.5943567602704124,[-1  0  1  2  3],[ 2 18 11  7 16],0,1,1,2,0
196,196,5,1,0.5832696942358785,[-1  0  1  2  3  4],[ 1 18 13  4 16  2],2,0,1,2,0
197,197,5,0,0.631392240267238,[0 1 2 3 4],[18 13  4 17  2],2,0,1,1,0
198,198,4,1,0.5859743343708326,[-1  0  1  2  3],[ 1 18 12  6 17],0,1,1,2,0
199,199,5,0,0.5921369207420887,[0 1 2 3 4],[18 16 15  3  2],2,0,1,1,0
200,200,4,3,0.5812882506897808,[-1  0  1  2  3],[ 3 18 16 14  3],1,0,1,2,0
201,201,5,1,0.49939681913627454,[-1  0  1  2  3  4],[ 1 18 19  2 10  4],2,0,1,2,0
202,202,4,1,0.4083080081558041,[-1  0  1  2  3],[ 1 18 19 12  4],1,0,1,2,0
203,203,4,1,0.36571113925081383,[-1  0  1  2  3],[ 1 18 18 15  2],1,0,1,2,0
204,204,5,1,0.33295320775534276,[-1  0  1  2  3  4],[ 1 17 11  8 13  4],1,1,2,1,0
205,205,6,1,0.5073383907642289,[-1  0  1  2  3  4  5],[ 1 18 19  7  2  5  2],2,2,0,2,0
206,206,6,2,0.33977115210182507,[-1  0  1  2  3  4  5],[ 2 18  3 16  8  5  2],2,2,0,2,0
207,207,4,1,0.4975993517603255,[-1  0  1  2  3],[ 1 18 19  4 12],1,0,1,2,0
208,208,4,1,0.4333387768962982,[-1  0  1  2  3],[ 1 18 19 14  2],1,0,1,2,0
209,209,3,0,0.6624739072893535,[0 1 2],[18 19 17],0,0,0,2,0
210,210,3,1,0.5473416467774054,[-1  0  1  2],[ 1 18 19 16],0,0,0,3,0
211,211,3,2,0.5997496630025211,[-1  0  1  2],[ 2 18 19 15],0,0,1,2,0
212,212,3,1,0.5136210759562224,[-1  0  1  2],[ 1 18 19 16],0,0,0,3,0
213,213,4,1,0.5335399502124127,[-1  0  1  2  3],[ 1 18 19 13  3],1,0,1,2,0
214,214,4,2,0.525672825469716,[-1  0  1  2  3],[ 2 18 19 10  5],0,1,1,2,0
215,215,3,0,0.6705971044677425,[0 1 2],[18 19 17],0,0,0,2,0
216,216,4,0,0.5214093801569932,[0 1 2 3],[ 8 10 19 17],0,0,1,2,0
217,217,3,0,0.6542980931518868,[0 1 2],[18 19 17],0,0,0,2,0
218,218,3,1,0.4166845037793126,[-1  0  1  2],[ 1 18 18 17],0,0,0,3,0
219,219,3,0,0.6648483543367703,[0 1 2],[18 19 17],0,0,0,2,0
220,220,3,0,0.6557029942685672,[0 1 2],[18 19 17],0,0,0,2,0
221,221,3,1,0.6466454460581639,[-1  0  1  2],[ 1 18 18 17],0,0,0,3,0
222,222,3,1,0.46279907278929006,[-1  0  1  2],[ 1 18 18 17],0,0,0,3,0
223,223,3,0,0.6479172683373603,[0 1 2],[18 19 17],0,0,0,2,0
224,224,3,0,0.625688597311167,[0 1 2],[18 19 17],0,0,0,2,0
225,225,3,0,0.6219358645513786,[0 1 2],[18 19 17],0,0,0,2,0
226,226,3,0,0.6128272718073852,[0 1 2],[18 19 17],0,0,0,2,0
227,227,3,0,0.6001491817311325,[0 1 2],[18 19 17],0,0,0,2,0
