,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
142,142,10,27,-0.3079010564407472,[-1  0  1  2  3  4  5  6  7  8  9],[27  6  3  2  2  4  2  2  2  2  2],9,1,0,0,0
143,143,7,32,-0.2364736303343957,[-1  0  1  2  3  4  5  6],[32  3  3  7  2  2  3  2],6,1,0,0,0
144,144,5,28,-0.2941716975325447,[-1  0  1  2  3  4],[28 14  3  3  4  2],4,0,1,0,0
145,145,6,29,-0.3268704823193803,[-1  0  1  2  3  4  5],[29 11  2  2  5  3  2],4,1,1,0,0
146,146,8,26,-0.35021093416650073,[-1  0  1  2  3  4  5  6  7],[26  9  5  2  3  2  3  2  2],6,1,1,0,0
147,147,12,21,-0.3162923011102716,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[21  6  4  3  2  3  2  2  2  2  3  2  2],11,1,0,0,0
148,148,11,25,-0.3908919071943434,[-1  0  1  2  3  4  5  6  7  8  9 10],[25  2  6  2  2  2  2  2  2  5  2  2],9,2,0,0,0
149,149,9,26,-0.40426442312082794,[-1  0  1  2  3  4  5  6  7  8],[26  2  2  5  2  6  4  3  2  2],7,2,0,0,0
150,150,12,28,-0.2741721070342048,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[28  2  2  2  3  2  2  2  2  2  2  2  3],12,0,0,0,0
151,151,8,35,-0.33371093057023726,[-1  0  1  2  3  4  5  6  7],[35  2  3  2  2  2  4  2  2],8,0,0,0,0
152,152,8,34,-0.31129033641163484,[-1  0  1  2  3  4  5  6  7],[34  2  4  3  2  2  2  2  3],8,0,0,0,0
153,153,8,36,-0.4124891215057807,[-1  0  1  2  3  4  5  6  7],[36  2  3  2  3  2  2  2  2],8,0,0,0,0
154,154,10,29,-0.1630893146559715,[-1  0  1  2  3  4  5  6  7  8  9],[29  6  2  2  2  2  2  2  3  2  2],9,1,0,0,0
155,155,11,29,-0.43481814680737446,[-1  0  1  2  3  4  5  6  7  8  9 10],[29  2  5  2  2  2  2  2  2  2  2  2],10,1,0,0,0
156,156,11,31,-0.4839711588703357,[-1  0  1  2  3  4  5  6  7  8  9 10],[31  2  2  2  2  3  2  2  2  2  2  2],11,0,0,0,0
157,157,9,33,-0.3393473642036305,[-1  0  1  2  3  4  5  6  7  8],[33  3  3  3  2  2  2  2  2  2],9,0,0,0,0
158,158,7,31,-0.2880846175450322,[-1  0  1  2  3  4  5  6],[31  2  4  2  8  2  3  2],6,1,0,0,0
159,159,11,26,-0.40955210895771016,[-1  0  1  2  3  4  5  6  7  8  9 10],[26  5  5  2  2  2  2  2  2  2  2  2],9,2,0,0,0
160,160,9,33,-0.3670323114524302,[-1  0  1  2  3  4  5  6  7  8],[33  3  4  2  2  2  2  2  2  2],9,0,0,0,0
161,161,8,32,-0.44294284408941553,[-1  0  1  2  3  4  5  6  7],[32  2  7  2  3  2  2  2  2],7,1,0,0,0
162,162,6,39,-0.22167828553216873,[-1  0  1  2  3  4  5],[39  2  3  3  2  2  3],6,0,0,0,0
163,163,8,31,-0.40287266989380677,[-1  0  1  2  3  4  5  6  7],[31  2  2  5  2  4  2  4  2],7,1,0,0,0
164,164,7,35,-0.32215704112038346,[-1  0  1  2  3  4  5  6],[35  2  2  5  3  2  2  3],6,1,0,0,0
165,165,7,35,-0.3276253328711483,[-1  0  1  2  3  4  5  6],[35  2  2  5  2  3  3  2],6,1,0,0,0
166,166,9,31,-0.35554770585623074,[-1  0  1  2  3  4  5  6  7  8],[31  2  3  5  2  2  2  2  3  2],8,1,0,0,0
167,167,7,31,-0.31774146120778224,[-1  0  1  2  3  4  5  6],[31  4  3  5  3  3  3  2],6,1,0,0,0
168,168,8,32,-0.26562594516720334,[-1  0  1  2  3  4  5  6  7],[32  2  3  3  3  3  4  2  2],8,0,0,0,0
169,169,10,29,-0.4260552505889553,[-1  0  1  2  3  4  5  6  7  8  9],[29  2  4  2  2  3  4  2  2  2  2],10,0,0,0,0
170,170,7,39,-0.3826248139899967,[-1  0  1  2  3  4  5  6],[39  3  2  2  2  2  2  2],7,0,0,0,0
171,171,8,33,-0.3641216120455544,[-1  0  1  2  3  4  5  6  7],[33  2  4  3  2  2  3  3  2],8,0,0,0,0
172,172,9,31,-0.3767428416094761,[-1  0  1  2  3  4  5  6  7  8],[31  3  3  2  3  2  3  2  2  3],9,0,0,0,0
173,173,6,35,-0.3019845495143335,[-1  0  1  2  3  4  5],[35  4  2  4  3  3  3],6,0,0,0,0
174,174,8,36,-0.4143946741590088,[-1  0  1  2  3  4  5  6  7],[36  2  2  3  2  2  3  2  2],8,0,0,0,0
175,175,11,25,-0.2792819869652294,[-1  0  1  2  3  4  5  6  7  8  9 10],[25  4  4  2  2  2  2  3  2  4  2  2],11,0,0,0,0
176,176,7,38,-0.38993611422555224,[-1  0  1  2  3  4  5  6],[38  3  2  2  3  2  2  2],7,0,0,0,0
177,177,12,23,-0.4536871466603657,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[23  2  2  2  2  3  2  3  3  4  3  2  3],12,0,0,0,0
178,178,7,35,-0.4104422013156438,[-1  0  1  2  3  4  5  6],[35  2  2  3  3  3  2  4],7,0,0,0,0
179,179,8,36,-0.4356831524078626,[-1  0  1  2  3  4  5  6  7],[36  3  2  3  2  2  2  2  2],8,0,0,0,0
180,180,9,36,-0.44168900145853157,[-1  0  1  2  3  4  5  6  7  8],[36  2  2  2  2  2  2  2  2  2],9,0,0,0,0
181,181,6,40,-0.41491720913357044,[-1  0  1  2  3  4  5],[40  2  2  2  2  3  3],6,0,0,0,0
182,182,5,44,-0.3952012792194476,[-1  0  1  2  3  4],[44  2  2  2  2  2],5,0,0,0,0
183,183,6,42,-0.3843987887961508,[-1  0  1  2  3  4  5],[42  2  2  2  2  2  2],6,0,0,0,0
184,184,5,44,-0.4109261168229953,[-1  0  1  2  3  4],[44  2  2  2  2  2],5,0,0,0,0
185,185,8,33,-0.4178772092504567,[-1  0  1  2  3  4  5  6  7],[33  2  3  2  2  2  3  4  3],8,0,0,0,0
186,186,11,29,-0.3817841172724797,[-1  0  1  2  3  4  5  6  7  8  9 10],[29  3  2  2  2  3  3  2  2  2  2  2],11,0,0,0,0
187,187,8,34,-0.31822196358219135,[-1  0  1  2  3  4  5  6  7],[34  4  3  2  2  3  2  2  2],8,0,0,0,0
188,188,13,27,-0.4300919650266431,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[27  2  2  3  2  2  2  2  2  2  2  2  2  2],13,0,0,0,0
189,189,12,26,-0.45011412771460046,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[26  5  3  2  2  2  2  2  2  2  2  2  2],11,1,0,0,0
190,190,9,27,-0.32736459271472634,[-1  0  1  2  3  4  5  6  7  8],[27  4  5  4  4  2  2  2  2  2],8,1,0,0,0
191,191,12,28,-0.4457393263229416,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[28  3  2  2  2  2  2  2  2  2  2  3  2],12,0,0,0,0
192,192,10,33,-0.463422370001518,[-1  0  1  2  3  4  5  6  7  8  9],[33  2  2  2  2  2  2  2  3  2  2],10,0,0,0,0
