,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
193,193,5,0,0.3120919440341069,[0 1 2 3 4],[18 19  4  8  5],"38,6",1,2,0,1,0
194,194,3,0,0.3516218905834527,[0 1 2],[18 19 17],"38,8",0,0,0,2,0
195,195,3,0,0.3805506502009625,[0 1 2],[18 19 17],39,0,0,0,2,0
196,196,3,0,0.41479280537151153,[0 1 2],[18 19 17],"39,2",0,0,0,2,0
197,197,3,2,0.33064585485260567,[-1  0  1  2],[ 2 17 18 17],"39,4",0,0,0,3,0
198,198,3,0,0.4327243328961014,[0 1 2],[18 19 17],"39,6",0,0,0,2,0
199,199,4,0,0.19700058654835567,[0 1 2 3],[16 19 17  2],"39,8",1,0,0,2,0
200,200,4,0,0.31771965713721206,[0 1 2 3],[18 12  7 17],40,0,1,1,1,0
201,201,6,2,0.015330220891977315,[-1  0  1  2  3  4  5],[ 2  2  6 26  7  9  2],"40,2",2,2,1,1,0
202,202,8,3,0.04354355113695874,[-1  0  1  2  3  4  5  6  7],[ 3 10 14 11  8  2  2  2  2],"40,4",4,1,3,0,0
203,203,4,3,0.11035327015620162,[-1  0  1  2  3],[ 3 29  2  4 16],"40,6",2,0,0,2,0
204,204,7,2,0.14369448522324366,[-1  0  1  2  3  4  5  6],[ 2  7  3 11  2  6 17  6],"40,8",2,3,1,1,0
205,205,6,0,0.129884806128933,[0 1 2 3 4 5],[ 9  9  4 15  3 14],41,2,0,3,0,0
206,206,7,2,0.18984187913364559,[-1  0  1  2  3  4  5  6],[ 2 14  3  9  9  6  7  4],"41,2",2,2,3,0,0
207,207,4,2,0.019537603507542804,[-1  0  1  2  3],[ 2  8 19  9 16],"41,4",0,1,1,2,0
208,208,6,2,0.20920357742366757,[-1  0  1  2  3  4  5],[ 2 13  5 14  9  4  7],"41,6",1,2,3,0,0
209,209,6,1,0.14796000387316316,[-1  0  1  2  3  4  5],[ 1  6 12 13 14  5  3],"41,8",1,2,3,0,0
210,210,6,1,0.15341829715245403,[-1  0  1  2  3  4  5],[ 1  3 15 15  9  4  7],42,2,1,3,0,0
211,211,3,1,0.42263969549555386,[-1  0  1  2],[ 1 18 19 16],"42,2",0,0,0,3,0
212,212,6,1,0.13202979951354674,[-1  0  1  2  3  4  5],[ 1  8 10 18  3 11  3],"42,4",2,1,2,1,0
213,213,5,1,0.19944918027359387,[-1  0  1  2  3  4],[ 1  8  9 10  9 17],"42,6",0,1,3,1,0
214,214,8,2,0.22831985024256962,[-1  0  1  2  3  4  5  6  7],[ 2  8 10 12  4  8  2  6  2],"42,8",3,3,2,0,0
215,215,6,1,0.3364737818454979,[-1  0  1  2  3  4  5],[ 1  3 10 19 11  5  5],43,1,2,2,1,0
216,216,8,4,0.14617539998699194,[-1  0  1  2  3  4  5  6  7],[ 4  6 10  5 11 11  2  2  3],"43,2",3,2,3,0,0
217,217,5,1,0.32855817011553184,[-1  0  1  2  3  4],[ 1 18 15  4  2 14],"43,4",2,0,2,1,0
218,218,6,3,0.2829935204960732,[-1  0  1  2  3  4  5],[ 3  6 10 13 16  4  2],"43,6",2,1,2,1,0
219,219,6,2,0.26511665051011213,[-1  0  1  2  3  4  5],[ 2 12 18  3 12  2  5],"43,8",2,1,2,1,0
220,220,4,2,0.396434848585287,[-1  0  1  2  3],[ 2 11 19 16  6],44,0,1,1,2,0
221,221,5,1,0.1655765597389551,[-1  0  1  2  3  4],[ 1 16 18  4 13  2],"44,2",2,0,1,2,0
222,222,6,4,0.26751037148457457,[-1  0  1  2  3  4  5],[ 4  6 10 17  4  9  4],"44,4",2,1,2,1,0
